url	Project	Assembly	Type	Biosource	Assay	Replicate	Dataset	Description	Lab	Publications	Accession	Experiment	name	color	altColor
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/05966a12-d29c-4a20-88db-3aadf623e802/4DNFI42F1OEY.bw	4DN	GRCh38	compartments	WTC-11 differentiated to cardiac muscle cell	DdeI and DpnII	merged replicates	Hi-C on WTC-11 differentiated to cardiac muscle cell		Benoit Bruneau, UCSF	Grant ZL et al. (2025) PMID:39829922	4DNFI42F1OEY	DNESW7WYVHO	compartments for WTC-11 differentiated to cardiac muscle cell in situ Hi-C DdeI and DpnII	rgb(249,88,148)	rgb(213,144,182)
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/1d071487-fc3d-46fd-b652-b5d322b726ae/4DNFI4DXOG39.bed.gz	4DN	GRCh38	boundaries	WTC-11 differentiated to cardiac muscle cell	DdeI and DpnII	merged replicates	Hi-C on WTC-11 differentiated to cardiac muscle cell		Benoit Bruneau, UCSF	Grant ZL et al. (2025) PMID:39829922	4DNFI4DXOG39	DNESW7WYVHO	boundaries for WTC-11 differentiated to cardiac muscle cell in situ Hi-C DdeI and DpnII	rgb(0, 150, 0)	rgb(0, 150, 0)
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/d0f292ef-e71a-4255-a3d8-565df30d4b0d/4DNFIFKF1V4A.bw	4DN	GRCh38	insulation score-diamond	WTC-11 differentiated to cardiac muscle cell	DdeI and DpnII	merged replicates	Hi-C on WTC-11 differentiated to cardiac muscle cell		Benoit Bruneau, UCSF	Grant ZL et al. (2025) PMID:39829922	4DNFIFKF1V4A	DNESW7WYVHO	insulation score-diamond for WTC-11 differentiated to cardiac muscle cell in situ Hi-C DdeI and DpnII	rgb(3,127,252)	rgb(11,177,250)
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/020878dd-db4a-4acf-89fc-135d507610c2/4DNFIA9FISEG.bw	4DN	GRCh38	compartments	WTC-11 differentiated to cardiac muscle cell	DdeI and DpnII	merged replicates	Hi-C on WTC-11 differentiated to cardiac muscle cell		Benoit Bruneau, UCSF	Grant ZL et al. (2025) PMID:39829922	4DNFIA9FISEG	DNES4NO6DRP	compartments for WTC-11 differentiated to cardiac muscle cell in situ Hi-C DdeI and DpnII	rgb(249,88,148)	rgb(213,144,182)
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/60171167-0e62-4b9c-b4a1-3bf274fcab86/4DNFIW2NNZTI.bed.gz	4DN	GRCh38	boundaries	WTC-11 differentiated to cardiac muscle cell	DdeI and DpnII	merged replicates	Hi-C on WTC-11 differentiated to cardiac muscle cell		Benoit Bruneau, UCSF	Grant ZL et al. (2025) PMID:39829922	4DNFIW2NNZTI	DNES4NO6DRP	boundaries for WTC-11 differentiated to cardiac muscle cell in situ Hi-C DdeI and DpnII	rgb(0, 150, 0)	rgb(0, 150, 0)
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/9378a100-e644-4b28-9a80-ea9f8ef287ed/4DNFIRELA2LA.bw	4DN	GRCh38	insulation score-diamond	WTC-11 differentiated to cardiac muscle cell	DdeI and DpnII	merged replicates	Hi-C on WTC-11 differentiated to cardiac muscle cell		Benoit Bruneau, UCSF	Grant ZL et al. (2025) PMID:39829922	4DNFIRELA2LA	DNES4NO6DRP	insulation score-diamond for WTC-11 differentiated to cardiac muscle cell in situ Hi-C DdeI and DpnII	rgb(3,127,252)	rgb(11,177,250)
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/37d11c67-ac81-4cdc-94b8-99a8e4806f07/4DNFIUR5TEZN.bw	4DN	GRCh38	compartments	WTC-11 differentiated to cardiac muscle cell	DdeI and DpnII	merged replicates	Hi-C on WTC-11 differentiated to cardiac muscle cell		Benoit Bruneau, UCSF	Grant ZL et al. (2025) PMID:39829922	4DNFIUR5TEZN	DNES9ZDUTHD	compartments for WTC-11 differentiated to cardiac muscle cell in situ Hi-C DdeI and DpnII	rgb(249,88,148)	rgb(213,144,182)
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/52415188-14c3-4a78-af0e-fb8f49bbf722/4DNFIC5GSF1B.bed.gz	4DN	GRCh38	boundaries	WTC-11 differentiated to cardiac muscle cell	DdeI and DpnII	merged replicates	Hi-C on WTC-11 differentiated to cardiac muscle cell		Benoit Bruneau, UCSF	Grant ZL et al. (2025) PMID:39829922	4DNFIC5GSF1B	DNES9ZDUTHD	boundaries for WTC-11 differentiated to cardiac muscle cell in situ Hi-C DdeI and DpnII	rgb(0, 150, 0)	rgb(0, 150, 0)
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/bfe5572f-f92d-453b-909d-cb0e4122e0d8/4DNFIZU155PA.bw	4DN	GRCh38	insulation score-diamond	WTC-11 differentiated to cardiac muscle cell	DdeI and DpnII	merged replicates	Hi-C on WTC-11 differentiated to cardiac muscle cell		Benoit Bruneau, UCSF	Grant ZL et al. (2025) PMID:39829922	4DNFIZU155PA	DNES9ZDUTHD	insulation score-diamond for WTC-11 differentiated to cardiac muscle cell in situ Hi-C DdeI and DpnII	rgb(3,127,252)	rgb(11,177,250)
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/df1759d3-062d-4dc5-908e-86cd3795094a/4DNFIDLNAXIY.bw	4DN	GRCh38	compartments	WTC-11 differentiated to cardiac muscle cell	DdeI and DpnII	merged replicates	Hi-C on WTC-11 cardiac differention timecourse		Benoit Bruneau, UCSF	Grant ZL et al. (2025) PMID:39829922	4DNFIDLNAXIY	DNESDVZJW63	compartments for WTC-11 differentiated to cardiac muscle cell in situ Hi-C DdeI and DpnII	rgb(249,88,148)	rgb(213,144,182)
